full_text,clean_text,sentimen_pred,emosi_dominan,skor_emosi_dominan,bukti_emosi_dominan,metode_pemilihan_emosi,emosi_terdeteksi,jumlah_emosi_terdeteksi,matched_terms_nrc,raw_Marah,raw_Takut,raw_Senang,raw_Percaya,weighted_Marah,weighted_Takut,weighted_Senang,weighted_Percaya
@kompascom Tiap hari dikasih shock kalo baca berita ttg ni orang,kasih shock baca berita ni,negatif,Marah,0.5,tentang,Tie-break karena skor tertimbang seri,"Marah, Takut, Senang, Percaya",4,"[{'term': 'kasih', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 2}, {'term': 'tentang', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 7}]",1,1,1,1,0.5,0.5,0.5,0.5
@kompascom Ya bukan dari apbn tapi dari rakyat+pebisinis yg pajaknya kalian incer terusss anjimmmm,bukan apbn rakyat pebisinis pajak incer terusss anjimmmm,negatif,Marah,0.5,bukan dari apbn,Tie-break karena skor tertimbang seri,"Marah, Takut",2,"[{'term': 'bukan dari apbn', 'jenis_match': 'frasa_negasi_manual', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 1}]",1,1,0,0,0.5,0.5,0.0,0.0
"@kompascom Menghemat apa itu anggaran kesehatan dipotong, efek bpjs iuran pbi banyak non aktifkan",hemat anggar sehat potong efek bpjs iur pbi non aktif,positif,Takut,1.0,"hemat, potong",Tie-break karena skor tertimbang seri,"Marah, Takut, Senang, Percaya",4,"[{'term': 'hemat', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear', 'trust'], 'emosi': 'Takut, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 0}, {'term': 'sehat', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 4}, {'term': 'potong', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 5}]",1,2,1,2,0.5,1.0,0.5,1.0
@kompascom Apaan si presiden baperan dg sirkel abs. Freak bgt. Lansia uda paling bener di rumah aja main sama cucu.,si presiden baperan dg sirkel abs freak banget lansia uda rumah main cucu,negatif,Senang,2.0,"benar, main, sama, cucu",Tie-break karena skor tertimbang seri,"Senang, Percaya",2,"[{'term': 'benar', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 12}, {'term': 'main', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 16}, {'term': 'sama', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 17}, {'term': 'cucu', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 18}]",0,0,4,4,0.0,0.0,2.0,2.0
"@kompascom Emg hambur2 doang anjggggg. Motong anggaran bidang lain, smpe jalan nasional bnyk bgt lubang yg dalem.

Ini masih salah satu titik yang sukses bikin truk terguling wkwkwkwk. https://t.co/4OqzIFxwTW",hambur doang anjggggg motong anggar bidang smpe jalan nasional banget lubang dalem salah titik sukses bikin truk guling wkwkwkwk,negatif,Takut,2.0,"jalan, salah, guling",Tie-break karena skor tertimbang seri,"Marah, Takut, Senang, Percaya",4,"[{'term': 'jalan', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear', 'joy'], 'emosi': 'Takut, Senang', 'bobot_per_emosi': 0.5, 'posisi': 9}, {'term': 'salah', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 18}, {'term': 'satu', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 19}, {'term': 'sukses', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy'], 'emosi': 'Senang', 'bobot_per_emosi': 1.0, 'posisi': 22}, {'term': 'bikin', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger'], 'emosi': 'Marah', 'bobot_per_emosi': 1.0, 'posisi': 23}, {'term': 'truk', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 24}, {'term': 'guling', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear'], 'emosi': 'Takut', 'bobot_per_emosi': 1.0, 'posisi': 25}]",2,3,3,2,1.5,2.0,2.0,1.5
"@kompascom Jujur info A1 sebenernya wowo gatau aslinya kayak apa dilapangan, dia percaya kanan kirinya bilang bagus makanya dia MBG sukses wkwk",jujur info sebenernya wowo gatau asli kayak lapang percaya kanan kiri bilang bagus mbg sukses,negatif,Senang,2.0833,"jujur, percaya, bagus, sukses",Tie-break karena skor tertimbang seri,"Marah, Takut, Senang, Percaya",4,"[{'term': 'jujur', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear', 'joy', 'trust'], 'emosi': 'Marah, Takut, Senang, Percaya', 'bobot_per_emosi': 0.25, 'posisi': 0}, {'term': 'asli', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 6}, {'term': 'percaya', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear', 'joy', 'trust'], 'emosi': 'Takut, Senang, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 11}, {'term': 'bagus', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 15}, {'term': 'sukses', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy'], 'emosi': 'Senang', 'bobot_per_emosi': 1.0, 'posisi': 19}]",1,2,4,4,0.25,0.5833,2.0833,2.0833
@kompascom Gaperlu dijelek2in juga program jelek vvok 😂,gaperlu jelek in program jelek vvok,negatif,Marah,1.0,jelek,Tie-break karena skor tertimbang seri,"Marah, Takut",2,"[{'term': 'jelek', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 1}, {'term': 'jelek', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 5}]",2,2,0,0,1.0,1.0,0.0,0.0
@kompascom BPJS kenapa kau tarik?,bpjs kau tarik,negatif,Marah,0.25,tarik,Tie-break karena skor tertimbang seri,"Marah, Takut, Senang, Percaya",4,"[{'term': 'tarik', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear', 'joy', 'trust'], 'emosi': 'Marah, Takut, Senang, Percaya', 'bobot_per_emosi': 0.25, 'posisi': 3}]",1,1,1,1,0.25,0.25,0.25,0.25
@kompascom udah tua masih goblok,tua goblok,negatif,Senang,0.5,tua,Tie-break karena skor tertimbang seri,"Senang, Percaya",2,"[{'term': 'tua', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 1}]",0,0,1,1,0.0,0.0,0.5,0.5
"@kompascom tolong hak bicaranya dicabut aja, kerja kaga bener juga.",tolong hak bicara cabut kaga,positif,Senang,1.0,"kerja, benar",Tie-break karena skor tertimbang seri,"Senang, Percaya",2,"[{'term': 'kerja', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 5}, {'term': 'benar', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 7}]",0,0,2,2,0.0,0.0,1.0,1.0
