full_text,clean_text,sentimen_pred,emosi_dominan,skor_emosi_dominan,bukti_emosi_dominan,metode_pemilihan_emosi,emosi_terdeteksi,jumlah_emosi_terdeteksi,matched_terms_nrc,raw_Marah,raw_Takut,raw_Senang,raw_Percaya,weighted_Marah,weighted_Takut,weighted_Senang,weighted_Percaya
"@kompascom Tolong,ini bapak bapak jgn sering dikasih pidato mulu. Pusing rakyat dengernya.",tolong jangan kasih pidato pusing rakyat dengar,negatif,Takut,1.0,dengar,Skor tertimbang tertinggi,"Takut, Senang, Percaya",3,"[{'term': 'kasih', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 6}, {'term': 'dengar', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear'], 'emosi': 'Takut', 'bobot_per_emosi': 1.0, 'posisi': 11}]",0,1,1,1,0.0,1.0,0.5,0.5
"@kompascom karepmu pak

jangan lupa semua orang akan bertanggung jawab dihadapan Tuhan

jika bapak sudah merasa yakin, ya gpp, di akhirat nanti sudah sendiri sendiri kok yang menghadap Tuhan",karepmu jangan lupa tanggung hadap tuhan gpp akhirat hadap tuhan,negatif,Takut,3.1667,"lupa, tuhan, sendiri",Skor tertimbang tertinggi,"Marah, Takut, Senang, Percaya",4,"[{'term': 'lupa', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 3}, {'term': 'tanggung', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 7}, {'term': 'tuhan', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear', 'joy', 'trust'], 'emosi': 'Takut, Senang, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 10}, {'term': 'yakin', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 15}, {'term': 'sendiri', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear'], 'emosi': 'Takut', 'bobot_per_emosi': 1.0, 'posisi': 22}, {'term': 'sendiri', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear'], 'emosi': 'Takut', 'bobot_per_emosi': 1.0, 'posisi': 23}, {'term': 'tuhan', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear', 'joy', 'trust'], 'emosi': 'Takut, Senang, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 27}]",1,5,3,4,0.5,3.1667,1.1667,2.1667
@kompascom Yg pasti gagal mencerdaskan dan memperbaiki ekonomi rakyat. Pasti berhasil menghabiskan uang rakyat tiap thn 330 T lebih &amp; memperkaya vendor. Hidup Jokowe 🤪,gagal cerdas baik ekonomi rakyat hasil habis uang rakyat thn amp kaya vendor hidup jokowe,negatif,Percaya,5.3333,"pasti, cerdas, baik, ekonomi, hasil, kaya, hidup",Skor tertimbang tertinggi,"Marah, Takut, Senang, Percaya",4,"[{'term': 'pasti', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 1}, {'term': 'gagal', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 2}, {'term': 'cerdas', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 3}, {'term': 'baik', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 5}, {'term': 'ekonomi', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 6}, {'term': 'pasti', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 8}, {'term': 'hasil', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 9}, {'term': 'lebih', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy'], 'emosi': 'Senang', 'bobot_per_emosi': 1.0, 'posisi': 16}, {'term': 'kaya', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 18}, {'term': 'hidup', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear', 'joy', 'trust'], 'emosi': 'Takut, Senang, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 20}]",1,2,6,8,0.5,0.8333,3.3333,5.3333
"@kompascom ya kan anda @prabowo dan tim anda yakin, kita nya gak yakin,  cuman mengingatkan https://t.co/jHaRphjAm1",tim tidak cuman,negatif,Percaya,2.25,"tim, yakin, tidak yakin, ingat",Skor tertimbang tertinggi,"Marah, Takut, Senang, Percaya",4,"[{'term': 'tim', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 4}, {'term': 'yakin', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 6}, {'term': 'tidak yakin', 'jenis_match': 'frasa_negasi_manual', 'emosi_kode': ['fear', 'trust'], 'emosi': 'Takut, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 9}, {'term': 'ingat', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear', 'joy', 'trust'], 'emosi': 'Marah, Takut, Senang, Percaya', 'bobot_per_emosi': 0.25, 'posisi': 12}]",1,2,2,4,0.25,0.75,0.75,2.25
@kompascom Berharap apa sama orang yang tone deaf nya udah terlampau parah 😮‍💨.,harap tone deaf lampau parah,negatif,Senang,1.0,"harap, sama",Tie-break karena skor tertimbang seri,"Marah, Takut, Senang, Percaya",4,"[{'term': 'harap', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 0}, {'term': 'sama', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 2}, {'term': 'parah', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 10}]",1,1,2,2,0.5,0.5,1.0,1.0
@kompascom Kalian memang goblok pecatan tni kalian pilih jd presiden https://t.co/4E6v5pvC35,goblok pecat tni pilih presiden,negatif,Marah,0.8333,"pecat, pilih",Skor tertimbang tertinggi,"Marah, Takut, Senang, Percaya",4,"[{'term': 'pecat', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 3}, {'term': 'pilih', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'joy', 'trust'], 'emosi': 'Marah, Senang, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 6}]",2,1,1,1,0.8333,0.5,0.3333,0.3333
"@kompascom Jalan lintas Sumatera sdh berlobang2. Ya hasil penghematan yg membuat biaya barang makin mahal krn biaya transportasi makin mahal. Daerah tdk ada pembangunan sama sekali. Air minum tak tersedia, sekolah rusak, jalan hancur, ekonomi tdk berkembang.  Vendor mkn kaya. Hidup Jokowe🤪",jalan lintas sumatera berlobang hasil hemat biaya barang mahal biaya transportasi mahal daerah tidak bangun air minum tak sedia sekolah rusak jalan hancur ekonomi tidak kembang vendor makan kaya hidup jokowe,negatif,Percaya,7.3333,"hasil, hemat, buat, daerah, tidak ada, sama, sedia, rusak, ekonomi, tidak, makan, kaya, hidup",Skor tertimbang tertinggi,"Marah, Takut, Senang, Percaya",4,"[{'term': 'jalan', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear', 'joy'], 'emosi': 'Takut, Senang', 'bobot_per_emosi': 0.5, 'posisi': 0}, {'term': 'hasil', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 6}, {'term': 'hemat', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear', 'trust'], 'emosi': 'Takut, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 7}, {'term': 'buat', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 9}, {'term': 'biaya', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger'], 'emosi': 'Marah', 'bobot_per_emosi': 1.0, 'posisi': 10}, {'term': 'barang', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear'], 'emosi': 'Takut', 'bobot_per_emosi': 1.0, 'posisi': 11}, {'term': 'mahal', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger'], 'emosi': 'Marah', 'bobot_per_emosi': 1.0, 'posisi': 13}, {'term': 'biaya', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger'], 'emosi': 'Marah', 'bobot_per_emosi': 1.0, 'posisi': 15}, {'term': 'mahal', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger'], 'emosi': 'Marah', 'bobot_per_emosi': 1.0, 'posisi': 18}, {'term': 'daerah', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 19}, {'term': 'tidak ada', 'jenis_match': 'frasa_negasi_manual', 'emosi_kode': ['anger', 'fear', 'trust'], 'emosi': 'Marah, Takut, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 20}, {'term': 'sama', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 23}, {'term': 'sedia', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 28}, {'term': 'rusak', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear', 'trust'], 'emosi': 'Marah, Takut, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 30}, {'term': 'jalan', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear', 'joy'], 'emosi': 'Takut, Senang', 'bobot_per_emosi': 0.5, 'posisi': 31}, {'term': 'hancur', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 32}, {'term': 'ekonomi', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 33}, {'term': 'tidak', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear', 'trust'], 'emosi': 'Marah, Takut, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 34}, {'term': 'kembang', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy'], 'emosi': 'Senang', 'bobot_per_emosi': 1.0, 'posisi': 35}, {'term': 'makan', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 37}, {'term': 'kaya', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 38}, {'term': 'hidup', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear', 'joy', 'trust'], 'emosi': 'Takut, Senang, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 39}]",8,9,9,13,5.5,4.3333,4.8333,7.3333
@kompascom Cuma pindah tempat korupsinya aja... Cerdas dikit napa pak 😩,pindah korupsi cerdas dikit napa,negatif,Senang,0.5,cerdas,Tie-break karena skor tertimbang seri,"Senang, Percaya",2,"[{'term': 'cerdas', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 5}]",0,0,1,1,0.0,0.0,0.5,0.5
"@kompascom Program boleh niatnya baik. Tapi jika pelaksanaannya membuat sebagian anak-anak sakit, maka yang dibutuhkan bukan pembelaan melainkan perbaikan total dan pertanggungjawaban.Dan uang rakyat seharusnya tidak dipertaruhkan pada sistem distribusi yang belum siap.",program niat laksana anak anak sakit butuh bukan bela baik total pertanggungjawaban uang rakyat tidak taruh sistem distribusi belum,negatif,Percaya,4.9167,"baik, laksana, buat, bagi, bela, pertanggungjawaban, tidak, sistem",Skor tertimbang tertinggi,"Marah, Takut, Senang, Percaya",4,"[{'term': 'baik', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 3}, {'term': 'laksana', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear', 'trust'], 'emosi': 'Marah, Takut, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 6}, {'term': 'buat', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 7}, {'term': 'bagi', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 8}, {'term': 'sakit', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 11}, {'term': 'bela', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear', 'joy', 'trust'], 'emosi': 'Marah, Takut, Senang, Percaya', 'bobot_per_emosi': 0.25, 'posisi': 16}, {'term': 'baik', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 18}, {'term': 'pertanggungjawaban', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 21}, {'term': 'tidak', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear', 'trust'], 'emosi': 'Marah, Takut, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 26}, {'term': 'taruh', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear'], 'emosi': 'Takut', 'bobot_per_emosi': 1.0, 'posisi': 27}, {'term': 'sistem', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear', 'trust'], 'emosi': 'Takut, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 29}, {'term': 'belum siap', 'jenis_match': 'frasa_negasi_manual', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 32}]",5,7,4,9,1.9167,3.4167,1.75,4.9167
"@kompascom Publikasi Lynn dan Vanhanen, hasil penelitian mrk, IQ rata-rata kita pada angka sekitar 78

Meski metodologinya perlu dikritisi, angka 78 itu bolehlah kita jadikan acuan untuk perbaikan kedepan

Sebagus apapun kuikulum dan sehebat apapun guru, bila kemampuan anak dalam menyerap",publikasi lynn vanhanen hasil teliti mrk iq rata rata angka metodologi kritisi angka jadi acu baik depan bagus apa kuikulum hebat apa guru mampu anak serap,positif,Percaya,6.5,"hasil, teliti, angka, baik, bagus, mampu, dalam",Skor tertimbang tertinggi,"Marah, Takut, Senang, Percaya",4,"[{'term': 'hasil', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 4}, {'term': 'teliti', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 5}, {'term': 'angka', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 12}, {'term': 'angka', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 18}, {'term': 'baik', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 25}, {'term': 'bagus', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 27}, {'term': 'hebat', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 31}, {'term': 'mampu', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 35}, {'term': 'dalam', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 37}]",1,1,3,8,0.5,0.5,1.5,6.5
